,workerID,taskID,answer,batch,method
0,4,4394,藏獒,0,4
1,4,4399,阿拉斯加,0,4
2,4,4404,藏獒,0,4
3,4,4433,阿拉斯加,0,4
4,4,4435,藏獒,0,4
5,4,4407,阿拉斯加,1,4
6,4,4397,藏獒,1,4
7,4,4415,阿拉斯加,1,4
8,4,4392,藏獒,1,4
9,4,4386,藏獒,1,4
10,4,4401,哈士奇,1,4
11,4,4425,藏獒,1,4
12,4,4423,阿拉斯加,1,4
13,4,4420,哈士奇,1,4
14,4,4414,阿拉斯加,1,4
15,4,4421,藏獒,1,4
16,4,4417,纽芬兰犬,1,4
17,4,4396,阿拉斯加,1,4
18,4,4422,哈士奇,1,4
19,4,4434,阿拉斯加,1,4
20,4,4387,阿拉斯加,1,4
21,4,4388,纽芬兰犬,1,4
22,4,4389,藏獒,1,4
23,4,4390,阿拉斯加,1,4
24,4,4391,纽芬兰犬,2,1
25,4,4405,阿拉斯加,2,1
26,4,4411,哈士奇,2,1
27,4,4410,藏獒,2,1
28,4,4412,阿拉斯加,2,1
29,4,4400,藏獒,2,2
30,4,4413,纽芬兰犬,2,2
31,4,4416,阿拉斯加,2,2
32,4,4402,哈士奇,2,2
33,4,4406,阿拉斯加,2,2
34,4,4418,藏獒,2,3
35,4,4430,阿拉斯加,2,3
36,4,4424,藏獒,2,3
37,4,4403,阿拉斯加,2,3
38,4,4393,哈士奇,2,3
39,4,4395,阿拉斯加,2,4
40,4,4398,藏獒,2,4
41,5,4394,藏獒,0,1
42,5,4399,藏獒,0,1
43,5,4404,藏獒,0,1
44,5,4433,藏獒,0,1
45,5,4435,藏獒,0,1
46,5,4419,阿拉斯加,1,1
47,5,4426,藏獒,1,1
48,5,4432,哈士奇,1,1
49,5,4431,阿拉斯加,1,1
50,5,4429,藏獒,1,1
51,5,4428,哈士奇,1,2
52,5,4427,阿拉斯加,1,2
53,5,4408,哈士奇,1,2
54,5,4409,阿拉斯加,1,2
55,5,4395,哈士奇,1,2
56,5,4390,阿拉斯加,1,3
57,5,4421,藏獒,1,3
58,5,4434,阿拉斯加,1,3
59,5,4401,哈士奇,1,3
60,5,4386,藏獒,1,3
61,5,4387,纽芬兰犬,1,4
62,5,4388,阿拉斯加,1,4
63,5,4389,藏獒,1,4
